,0
0,86.264493496
1,62.9084369782
2,75.4567695122
3,93.7604192282
4,6.4029632403
5,56.3881193826
6,95.7113627755
7,5.43601863797
8,21.802328191
9,68.3168892861
10,81.3604033635
11,46.2239231106
12,40.7676596682
13,17.6967996262
14,40.5795579468
15,24.7439546818
16,37.7194784995
17,91.342356512
18,52.4093240492
19,23.1986590036
20,96.4907585139
21,57.9156781499
22,36.7652289205
23,93.9268534932
24,39.2675610211
25,96.3420148446
26,7.65442750358
27,7.42960840266
28,61.5679213912
29,66.3123484294
30,65.1371168817
31,92.2452112091
32,92.3274522571
33,26.837275475
34,71.6857580951
35,25.2306514659
36,77.32771033
37,73.239882835
38,37.1050644796
39,82.7169863592
40,19.7460294904
41,56.1107914591
42,69.2117136164
43,62.7920726835
44,3.37665770169
45,86.8986107744
46,6.50170637051
47,25.1385308042
48,24.5936351081
49,43.2112829323
50,37.4075234589
51,29.0686704171
52,88.3231627828
53,9.42693249756
54,27.4706733065
55,79.2040486474
56,9.32161400941
57,74.777545371
58,2.78958462968
59,22.1632882834
60,16.0330104747
61,49.4348954508
62,17.6520126433
63,82.4196185533
