,0
0,79.024068777
1,43.6692515516
2,63.1980911304
3,27.5681961678
4,71.6287100674
5,31.7824943751
6,48.3176254213
7,44.8219726007
8,9.3637651438
9,51.4970272341
10,39.8733632623
11,18.2877021622
12,94.0049931674
13,57.3884893083
14,61.5359232094
15,79.9261353806
16,16.070931742
17,81.2727686698
18,62.8873878912
19,48.1156618136
20,10.9491820262
21,76.3347176569
22,13.031714741
23,87.5725455612
24,44.7289679811
25,14.9945566964
26,13.0663215534
27,42.1164089116
28,94.2115414154
29,27.7087565844
30,6.57429464248
31,84.5572544621
32,75.8566966818
33,14.0544875155
34,88.2920993784
35,99.0480846056
36,94.9883079184
37,7.09359925811
38,42.2735213484
39,50.9364760778
40,66.5594049413
41,47.74976497
42,84.5664985031
43,43.5590920394
44,81.5775276235
45,9.95766341634
46,3.54775556272
47,14.2208713662
48,12.8108300895
49,99.4150012642
50,54.9367839444
51,33.052951001
52,66.7889547093
53,73.5681252708
54,72.2264655618
55,37.4953875707
56,84.2587788988
57,27.191697221
58,73.8144778146
59,46.7008175369
60,97.8443540063
61,73.1160334028
62,94.1459825003
63,82.1243764913
